Name,Status,Hours of Operation,Menu,District,Street Address,City,Zip,Phone Number,Website,How To Order,Order via Email Address,Delivery Options,Pickup Options,Accepting Future Orders,"If Accepting Future Orders, provide details",Selling Gift Cards?,Limited or special menu?
 Cajun Boil Bar,Limited Hours,12-9pm,cajunseafoodohio.com,Reynoldsburg,2760 Brice Road,Reynoldsburg ,43068,614-863-8667,cajunseafoodohio.com,"Website,Direct Call",,,,,,"""Yes, In Person""",
Alchemy Café,Limited Hours,7am-4pm,https://www.alchemy-brands.com/location/alchemy-cafe/,German/Merion Village,625 parsons avenue ,Columbus ,43206,615-305-7551,http://www.alchemy-brands.com/,"Direct Call,Website,Delivery Apps",,"Direct from Restaurant ,Door Dash,Uber Eats",Carry Out,Yes,,"""Yes, Online"",""Yes, In Person""",
Alchemy Kitchen,Limited Hours,7am-4pm,https://www.alchemy-brands.com/location/alchemy-kitchen/,Grandview,1439 Grandview Ave,Columbus ,43205,614-725-0255,www.alchemy-brands.com,"Website,Direct Call,Delivery Apps",,"Direct from Restaurant ,Door Dash,Uber Eats",Carry Out,Yes,,"""Yes, Online"",""Yes, In Person""",
Amano’s ,Limited Hours,,https://www.toasttab.com/amanos-220-worthington-mall/v2/online-order,Worthington,220 Worthington Mall,Worthington ,43085,614-430-8000,http://amanosworthington.com/,"Direct Call,Website,Delivery Apps",,"Direct from Restaurant ,GrubHub,Door Dash,Uber Eats","Curbside,Carry Out",Yes,,"""Yes, In Person"",""Yes, Online""",
Balboa,Limited Hours,,https://www.balboamexicanrestaurant.com/menu/,Grandview,1312 Grandview Ave,Columbus,43212,6147451201,https://www.balboamexicanrestaurant.com/,"Direct Call,Delivery Apps",,"Postmates,Uber Eats","Curbside,Carry Out",No,,"""Yes, In Person""",
Basi Italia,Temporarily Closed,,,Short North/Italian Village,811 Highland St,Columbus,43215,(614) 294-7383,ww.basi-italia.com,,,,,,,,
Blue Ginger,Limited Hours,12pm to 9pm,http://bluegingerdublin.com,Dublin,6234 sawmill rd,Dublin,43017,614－792－3888,www.bluegingerdublin.com,"Direct Call,Website,Delivery Apps",,"GrubHub,Postmates,Uber Eats",Carry Out,Yes,,"""Yes, In Person""",
Bonifacio: Modern Filipino,Limited Hours,,www.bonifacio614.com,Upper Arlington,1577 King Ave,Columbus,43212,614-914-8115,www.bonifacio614.com,"Direct Call,Website",,"Direct from Restaurant ,Door Dash","Curbside,Carry Out",Yes,Our online delivery system allows you to create future orders.,"""Yes, Online""",Yes
Brioso Roastery + Coffee Bar,Regular Hours,"M-F 7am-4pm
Sat 8am-4pm",instagram.com/briosocoffee,Downtown,329 E Long St,Columbus,43215,(614) 754-9511,briosocoffee.com,Direct Call,,,Carry Out,No,,"""Yes, Online"",""Yes, In Person""",
Brioso Roastery + Coffee Bar,Regular Hours,"M-F 7am-4pm
Sat 8am-12pm",instagram.com/briosocoffee,Downtown,53 N High St,Columbus,43215,(614) 670-8490,briosocoffee.com,Direct Call,,,Curbside,No,,"""Yes, Online"",""Yes, In Person""",
Bruno's Pizza & Pasta,Regular Hours,,-,Northside,1774 E. Dublin-Granville Rd.,Columbus ,43229,614-891-0631,no,Direct Call,,Direct from Restaurant ,Carry Out,No,,"""Yes, In Person""",
Cap City Grandview,Limited Hours,,https://capcityfinediner.com/locations-menus/,Grandview,1299 Olentangy River Road ,Columbus,43212,614.291.3663,,Direct Call,,,Curbside,,,"""Yes, Online""",Yes
Choripan Argentine Grill,Regular Hours,,www.choripan.co,Dublin,5927 Karric Square Dr.,Dublin,43016,614-467-9288,www.choripan.co,"Direct Call,Website,Delivery Apps",,"Direct from Restaurant ,GrubHub,Postmates,Uber Eats","Curbside,Carry Out",Yes,Order by 6 pm for next day pick up. ,"""Yes, In Person"",""Yes, Online""",
Chuy’s ,Limited Hours,,,Easton Area,4154 Seward street,Columbus,43219,614-498-0285,http://www.chuys.com/locations/ohio/columbus,"Direct Call,Website,Delivery Apps",,"Direct from Restaurant ,Door Dash,Postmates","Curbside,Carry Out",Yes,,"""Yes, In Person""",Yes
City Barbeque ,Regular Hours,,https://order.citybbq.com,New Albany,6280 e dublin granville rd. ,new albany ,43054,6142459293,www.citybbq.com,"Direct Call,Website,Delivery Apps",,"Direct from Restaurant ,GrubHub,Door Dash","Curbside,Carry Out",Yes,,"""Yes, Online"",""Yes, In Person""",
City Tavern,Limited Hours,,www.citytaverncolumbus.com/menu,Short North/Italian Village,697 N 4th St,Columbus,43215,6148262348,www.citytaverncolumbus.com,"Direct Call,Delivery Apps",,"Direct from Restaurant ,GrubHub,Uber Eats","Curbside,Carry Out",No,,"""Yes, In Person""",
Community Grounds,Regular Hours,,http://mycommunitygrounds.com/menu/,German/Merion Village,1134 Parsons Ave,Columbus,43206,6147250124,http://mycommunitygrounds.com,Delivery Apps,,Direct from Restaurant ,Carry Out,Yes,Use the Cloosiv app to order ahead. $3 off first order.,"""Yes, Online"",""Yes, In Person""",
Condado Tacos Easton,Limited Hours,11:00 am til 10:00 pm,Condadotacos.com,Easton Area,4077 Fenlon St,Columbus,43219,614.532.5956,Condadotacos.cm,"Direct Call,Website",,"Direct from Restaurant ,Door Dash",Carry Out,Yes,We will accept all orders during the operating hours.,"""Yes, In Person""",We are serving our normal menu and catering menu as well.  Please call with questions.
Cova Cowork & Bottoms Up Coffee,Temporarily Closed,,https://www.instagram.com/bottomsupcoffee/,Franklinton,1069 W Broad Street,Columbus,43222,-2535,https://www.bottomsupcoffee.com/,Website,,GrubHub,Curbside,Yes,"Our cafe is closed for the time being and we unfortunately are not equip to do take-out as an option. We do, however have gift cards and merch available for purchase through our website. 

NOTE: 
While we are available on GrubHub normally, for now we have discontinued that feature. 
Also, curbside is NOT available, but I was required to click one option to submit.  ","""Yes, Online""",Yes
Cuzn'z Bar & Grill,Limited Hours,,Like our page on FB,Pataskala,12897 C National Rd,Pataskala ,43062,7409633331,Cuznzbarandgrill.com,Direct Call,,Direct from Restaurant ,Carry Out,Yes,,"""Yes, In Person""",
Dempsey's Food & Spirits,Limited Hours,11AM-7PM,https://dempseys.hrpos.heartland.us/?fbclid=IwAR2CUUCbWpyZcrMPaJCYrrJelnL2QWeNXFiX8COkgXMw8e4PWO3hTrkdDO8,Downtown,346 S. High Street,Columbus,43215,614-586-0511,http://www.dempseysdowntown.com/,"Direct Call,Website",,,"Carry Out,Curbside",Yes,,"""Yes, Online"",""Yes, In Person""",
Dirty Frank's Hot Dog Palace,Limited Hours,,https://www.instagram.com/p/B9zEkqiA-y0/?igshid=o2jh2y73gtsh,Downtown,248 S. 4th St.,Columbus,43215,6148244673,www.dirtyfranks.com,Direct Call,,Direct from Restaurant ,Carry Out,Yes,,"""Yes, Online"",""Yes, In Person""",Yes
District north ,Limited Hours,,www.district-north.com,Downtown,10 E long street ,Columbus ,43215,6145574681,,"Website,Delivery Apps",,"Direct from Restaurant ,GrubHub,Postmates,Door Dash,Uber Eats,Seamless",Carry Out,Yes,,No,Yes
DK Diner,Regular Hours,,www.thedkdiner.com,Grandview,1715 w 3rd Ave ,Columbus ,43212,614-488-5160,www.thedkdiner.com,"Direct Call,Website,Delivery Apps",,Direct from Restaurant ,"Curbside,Carry Out",Yes,Please Call ahead for Donut and large food orders! ,"""Yes, In Person""",Mostly normal menu 
Edible Arrangements,Limited Hours,"M-F 9am to 5pm
Sat 9am to 3pm
Sun Closed",edible.com,Grandview,1415 Grandview Ave,Columbus,43212,6144865560,edible.com,"Direct Call,Website",,Direct from Restaurant ,Curbside,Yes,"Same day orders until 4pm, order anytime for future days",No,
Ethyl & Tank,Limited Hours,,https://www.ethylandtank.com/,University District/Old North,19 E 13th Ave,Columbus,43201,(614) 928-3788,https://www.ethylandtank.com/,"Direct Call,Delivery Apps",,"Direct from Restaurant ,GrubHub,Uber Eats","Curbside,Carry Out",Yes,Give us a call and let us know when you want to pick it up.,"""Yes, In Person""",Yes
Firehouse Subs of Grandview,Regular Hours,,https://www.firehousesubs.com/locations/oh/grandview/,Grandview,955 West Fifth Avenue,Columbus,43212,614-298-1324,,"Direct Call,Website,Delivery Apps",,"GrubHub,Postmates,Door Dash,Uber Eats",Carry Out,Yes,,"""Yes, In Person""",
Firehouse Subs of Pickerington,Regular Hours,,https://www.firehousesubs.com/locations/oh/pickerington/,Pickerington,152 Clint Drive,Pickerington,43147,614-892-7020,,"Direct Call,Website,Delivery Apps",,"GrubHub,Postmates,Door Dash,Uber Eats",Carry Out,Yes,,"""Yes, In Person""",
Firehouse Subs of South Gahanna,Regular Hours,,https://www.firehousesubs.com/locations/oh/south-gahanna/,Gahanna,406 Granville St,Gahanna,43230,614-269-8600,,"Direct Call,Website,Delivery Apps",,"GrubHub,Postmates,Door Dash,Uber Eats",Carry Out,Yes,,"""Yes, In Person""",
Flatiron Tavern,Limited Hours,,www.flatirontavern.com/menu,Arena District,129 E Nationwide Blvd,Columbus,43215,6145250091,www.flatirontavern.com,"Direct Call,Delivery Apps",,"Direct from Restaurant ,GrubHub,Uber Eats","Curbside,Carry Out",No,,"""Yes, In Person""",
Fourth St Bar & Grill,Limited Hours,,https://www.fourthstreetcolumbus.com/,University District/Old North,1810 N 4th St,Columbus,43201,614-974-6555,https://www.fourthstreetcolumbus.com/,"Direct Call,Delivery Apps",,"Direct from Restaurant ,GrubHub,Uber Eats","Curbside,Carry Out",Yes,Call us and let us know when you want to pick it up.,"""Yes, In Person""",Yes
Grandview Cafe,Limited Hours,,https://www.bargrandview.com/menu/,Grandview,1455 W 3rd Ave ,Columbus ,43212,614-725-1077,https://www.bargrandview.com/,"Direct Call,Delivery Apps",,"Uber Eats,Postmates","Curbside,Carry Out",No,,"""Yes, In Person""",
Hadley’s Bar and Kitchen,Limited Hours,,http://www.hadleysbar.com/lunchdinner,Downtown,260 S 4th st. ,Columbus,43215,614-222-3022,http://www.hadleysbar.com/,"Direct Call,Delivery Apps",,"Postmates,Uber Eats","Curbside,Carry Out",No,,"""Yes, In Person""",
Happy house Chinese restaurant ,Regular Hours,,,Grandview,1267 w 5th ave ,Columbus Ohio ,43212,6144882088,happyhouseoh.com,"Direct Call,Website,Delivery Apps",,"GrubHub,Postmates,Direct from Restaurant ","Curbside,Carry Out",Yes,,No,
Hoggy's Restaurant and Catering,Regular Hours,,https://direct.chownow.com/order/8391/locations,Northwest Columbus,830 Bethel Road,Columbus,43214,6144421800,hoggys.com,"Direct Call,Website,Delivery Apps,Email",,"Direct from Restaurant ,Postmates,Door Dash","Curbside,Carry Out",Yes,Accepting any and all orders.,"""Yes, In Person""",
Honey Dip Donuts & Diner,Regular Hours,Tues-Sat: 6am-2pm; Sun: 7am-2pm,http://honeydipdonutsdiner.com/,Northwest Columbus,4480 Kenny Road,Columbus,43220,614-459-0812,http://honeydipdonutsdiner.com/,"Direct Call,Delivery Apps",,"GrubHub,Door Dash,Uber Eats",Carry Out,Yes,24 hour notice to order donuts for next day pickup ,"""Yes, In Person""",
Hoof Hearted Brewery & Kitchen,Limited Hours,,https://hoofheartedkitchen.com/menu,Short North/Italian Village,850 N 4th St,Columbus,43205,6149482527,https://hoofheartedkitchen.com/,"Direct Call,Delivery Apps",,Direct from Restaurant ,"Curbside,Carry Out",Yes,Call us and let us know when you want to pick it up.,"""Yes, In Person""",Yes
HY Asian Cuisine ,Regular Hours,"11:30am —9:00 Pm 
Monday — Sunday ",www.hyasiancuisine.com,University District/Old North,3011 Olentangy River Road ,Columbus ,43202,614-754-8754,www.hyasiancuisine.com,"Direct Call,Website,Delivery Apps",,"Uber Eats,Door Dash",Carry Out,Yes,,"""Yes, In Person""",Normal menu items
Japanese Oriental Restaurant ,Regular Hours,,https://japanese-oriental-restaurant.business.site/,University District/Old North,2283 N High St,Columbus ,43235,6148227053,https://japanese-oriental-restaurant.business.site/,"Direct Call,Delivery Apps",,"GrubHub,Door Dash,Uber Eats",Carry Out,Yes,Order by 8pm for next day pickup ,"""Yes, In Person""",
Jimmy John's Grove City Drive Thru,Limited Hours,10:30am to 3pm,https://www.jimmyjohns.com/,Grove City, 3041 Turnberry Ct,Grove City,43123,(614) 801-1222,https://www.jimmyjohns.com/,"Direct Call,Website",,Direct from Restaurant ,"Curbside,Carry Out",Yes,Order last minute or for a future date!,"""Yes, In Person"",""Yes, Online""",
