Name,Status,Menu,District,Street Address,City,Zip,Phone Number,Website,How To Order,Delivery Options,Pickup Options,Accepting Future Orders,"If Accepting Future Orders, provide details",Selling Gift Cards?,Limited or special menu?
Japanese Oriental Restaurant ,Regular Hours,https://japanese-oriental-restaurant.business.site/,University District/Old North,2283 N High St,Columbus ,43235,6148227053,https://japanese-oriental-restaurant.business.site/,"Direct Call,Delivery Apps","GrubHub,Door Dash,Uber Eats",Carry Out,Yes,Order by 8pm for next day pickup ,"""Yes, In Person""",
Mellow Mushroom - New Albany ,Limited Hours,www.mellowmushroom.com,New Albany,260 Market Street Suite A,New Albany ,43054,614-245-4234,www.mellowmushroom.com,"Direct Call,Delivery Apps","GrubHub,Door Dash,Uber Eats",Carry Out,No,,"""Yes, Online"",""Yes, In Person""",checked
Tommy’s Pizza Dublin ,Regular Hours,www.tommyspizza.com,Dublin,4279 W Dublin Granville Rd ,Dublin,43017,614-764-3999,www.tommyspizza.com,"Direct Call,Delivery Apps",Door Dash,Carry Out,Yes,You can always place a future order with us ,"""Yes, In Person""",
Tommy’s Pizza Upper Arlington ,Regular Hours,www.tommyspizza.com,Upper Arlington,1350 W Lane Ave ,Columbus ,43221,614-486-2969,www.tommyspizza.com,"Direct Call,Delivery Apps",Door Dash,Carry Out,Yes,We always accept further orders ,"""Yes, In Person""",
Tommy’s Pizza Campus ,Regular Hours,www.tommyspizza.com,University District/Old North,174 W Lane Ave ,Columbus ,43201,614-294-4669,www.tommyspizza.com,"Direct Call,Delivery Apps",Door Dash,Carry Out,Yes,We always accept future  orders ,"""Yes, In Person""",
Pat and Gracie’s Downtown ,Limited Hours,www.patandgracies.com,Downtown,340 East Gay St,Columbus ,43215,614-914-8484,www.patandgracies.com,"Direct Call,Delivery Apps,Website","GrubHub,Postmates,Door Dash,Uber Eats",Carry Out,Yes,Please call the restaurant ,"""Yes, In Person""",
Pecan Penny’s ,Limited Hours,pecanpennys.com,Downtown,113 E Main St,Columbus,43205,6148260750,pecanpennys.com,"Direct Call,Website,Delivery Apps","Direct from Restaurant ,GrubHub,Postmates,Door Dash,Uber Eats","Curbside,Carry Out",Yes,Order by 6pm for next day pickup ,"""Yes, In Person""",
The Crest Gastropub - Clintonville,Limited Hours,https://www.thecrestgastropub.com/clintonville-menu,Clintonville,2855 Indianola Ave,Columbus,43202,(614) 261 7128,https://www.thecrestgastropub.com/,"Direct Call,Delivery Apps","Direct from Restaurant ,Uber Eats","Curbside,Carry Out",Yes,"Call us and let us know when you need it ready.
Website ordering coming as soon as we can pull it together.","""Yes, In Person""",checked
The Crest Gastropub - Parsons Ave,Limited Hours,https://www.thecrestgastropub.com/parsons-menu,German/Merion Village,"621 Parsons Avenue,", Columbus ,43206,(614) 682-7090,https://www.thecrestgastropub.com/,"Direct Call,Delivery Apps","Direct from Restaurant ,GrubHub,Uber Eats","Curbside,Carry Out",Yes,Give us a call and tell us when you want to pick it up.,"""Yes, In Person""",checked
The lox bagel shop,Regular Hours,theloxbagelshop.com,Short North/Italian Village,772 N High St suite 106,Columbus,43215,614,theloxbagelshop.com,"Website,Direct Call,Delivery Apps,Email","Door Dash,Direct from Restaurant ",Carry Out,Yes,Catering menu fully available ,"""Yes, In Person""",checked
Ethyl & Tank,Limited Hours,https://www.ethylandtank.com/,University District/Old North,19 E 13th Ave,Columbus,43201,(614) 928-3788,https://www.ethylandtank.com/,"Direct Call,Delivery Apps","Direct from Restaurant ,GrubHub,Uber Eats","Curbside,Carry Out",Yes,Give us a call and let us know when you want to pick it up.,"""Yes, In Person""",checked
The Market Italian Village,Limited Hours,https://www.themarketiv.com/evening,Short North/Italian Village,1022 Summit,Columbus,43201,6149482527,https://www.themarketiv.com/,"Direct Call,Delivery Apps","Direct from Restaurant ,GrubHub,Uber Eats","Curbside,Carry Out",Yes,Give us a call and let us know when you'd like to pick it up.,"""Yes, In Person""",checked
Hoof Hearted Brewery & Kitchen,Limited Hours,https://hoofheartedkitchen.com/menu,Short North/Italian Village,850 N 4th St,Columbus,43205,6149482527,https://hoofheartedkitchen.com/,"Direct Call,Delivery Apps",Direct from Restaurant ,"Curbside,Carry Out",Yes,Call us and let us know when you want to pick it up.,"""Yes, In Person""",checked
