 Cajun Boil Bar|Limited Hours|cajunseafoodohio.com|Reynoldsburg|2760 Brice Road|Reynoldsburg |OH|43068.0|614-863-8667|cajunseafoodohio.com|Website,Direct Call|nan|nan|nan|nan|"Yes, In Person"|nan|39.9250877|-82.830444
Alchemy Café|Limited Hours|https://www.alchemy-brands.com/location/alchemy-cafe/|German/Merion Village|625 parsons avenue |Columbus |OH|43206.0|615-305-7551|http://www.alchemy-brands.com/|Direct Call,Website,Delivery Apps|Direct from Restaurant ,Door Dash,Uber Eats|Carry Out|Yes|nan|"Yes, Online","Yes, In Person"|nan|39.9511214|-82.9827021
Alchemy Kitchen|Limited Hours|https://www.alchemy-brands.com/location/alchemy-kitchen/|Grandview|1439 Grandview Ave|Columbus |OH|43205.0|614-725-0255|www.alchemy-brands.com|Website,Direct Call,Delivery Apps|Direct from Restaurant ,Door Dash,Uber Eats|Carry Out|Yes|nan|"Yes, Online","Yes, In Person"|nan|39.9871397|-83.04483239999999
Amano’s |Limited Hours|https://www.toasttab.com/amanos-220-worthington-mall/v2/online-order|Worthington|220 Worthington Mall|Worthington |OH|43085.0|614-430-8000|http://amanosworthington.com/|Direct Call,Website,Delivery Apps|Direct from Restaurant ,GrubHub,Door Dash,Uber Eats|Curbside,Carry Out|Yes|nan|"Yes, In Person","Yes, Online"|nan|40.1094958|-83.0197247
Balboa|Limited Hours|https://www.balboamexicanrestaurant.com/menu/|Grandview|1312 Grandview Ave|Columbus|OH|43212.0|6147451201|https://www.balboamexicanrestaurant.com/|Direct Call,Delivery Apps|Postmates,Uber Eats|Curbside,Carry Out|No|nan|"Yes, In Person"|nan|39.9845297|-83.0444024
Basi Italia|Temporarily Closed|nan|Short North/Italian Village|811 Highland St|Columbus|OH|43215.0|(614) 294-7383|ww.basi-italia.com|nan|nan|nan|nan|nan|nan|nan|39.9781691|-83.0106864
Blue Ginger|Limited Hours|http://bluegingerdublin.com|Dublin|6234 sawmill rd|Dublin|OH|43017.0|614－792－3888|www.bluegingerdublin.com|Direct Call,Website,Delivery Apps|GrubHub,Postmates,Uber Eats|Carry Out|Yes|nan|"Yes, In Person"|nan|40.0924024|-83.0908741
Bonifacio: Modern Filipino|Limited Hours|www.bonifacio614.com|Upper Arlington|1577 King Ave|Columbus|OH|43212.0|614-914-8115|www.bonifacio614.com|Direct Call,Website|Direct from Restaurant ,Door Dash|Curbside,Carry Out|Yes|Our online delivery system allows you to create future orders.|"Yes, Online"|Yes|39.9914655|-83.0492476
Brioso Roastery + Coffee Bar|Regular Hours|instagram.com/briosocoffee|Downtown|329 E Long St|Columbus|OH|43215.0|(614) 754-9511|briosocoffee.com|Direct Call|nan|Carry Out|No|nan|"Yes, Online","Yes, In Person"|nan|39.96567599999999|-82.992193
Brioso Roastery + Coffee Bar|Regular Hours|instagram.com/briosocoffee|Downtown|53 N High St|Columbus|OH|43215.0|(614) 670-8490|briosocoffee.com|Direct Call|nan|Curbside|No|nan|"Yes, Online","Yes, In Person"|nan|39.9634707|-83.001071
Bruno's Pizza & Pasta|Regular Hours|-|Northside|1774 E. Dublin-Granville Rd.|Columbus |OH|43229.0|614-891-0631|no|Direct Call|Direct from Restaurant |Carry Out|No|nan|"Yes, In Person"|nan|40.0882183|-82.9706958
Cap City Grandview|Limited Hours|https://capcityfinediner.com/locations-menus/|Grandview|1299 Olentangy River Road |Columbus|OH|43212.0|614.291.3663|nan|Direct Call|nan|Curbside|nan|nan|"Yes, Online"|Yes|39.986456|-83.0249977
Choripan Argentine Grill|Regular Hours|www.choripan.co|Dublin|5927 Karric Square Dr.|Dublin|OH|43016.0|614-467-9288|www.choripan.co|Direct Call,Website,Delivery Apps|Direct from Restaurant ,GrubHub,Postmates,Uber Eats|Curbside,Carry Out|Yes|Order by 6 pm for next day pick up. |"Yes, In Person","Yes, Online"|nan|40.0734025|-83.12279629999999
Chuy’s |Limited Hours|nan|Easton Area|4154 Seward street|Columbus|OH|43219.0|614-498-0285|http://www.chuys.com/locations/ohio/columbus|Direct Call,Website,Delivery Apps|Direct from Restaurant ,Door Dash,Postmates|Curbside,Carry Out|Yes|nan|"Yes, In Person"|Yes|40.0567239|-82.9081044
City Barbeque |Regular Hours|https://order.citybbq.com|New Albany|6280 e dublin granville rd. |new albany |OH|43054.0|6142459293|www.citybbq.com|Direct Call,Website,Delivery Apps|Direct from Restaurant ,GrubHub,Door Dash|Curbside,Carry Out|Yes|nan|"Yes, Online","Yes, In Person"|nan|40.0808465|-82.8512585
City Tavern|Limited Hours|www.citytaverncolumbus.com/menu|Short North/Italian Village|697 N 4th St|Columbus|OH|43215.0|6148262348|www.citytaverncolumbus.com|Direct Call,Delivery Apps|Direct from Restaurant ,GrubHub,Uber Eats|Curbside,Carry Out|No|nan|"Yes, In Person"|nan|39.9772825|-82.99825330000002
Community Grounds|Regular Hours|http://mycommunitygrounds.com/menu/|German/Merion Village|1134 Parsons Ave|Columbus|OH|43206.0|6147250124|http://mycommunitygrounds.com|Delivery Apps|Direct from Restaurant |Carry Out|Yes|Use the Cloosiv app to order ahead. $3 off first order.|"Yes, Online","Yes, In Person"|nan|39.9404702|-82.98296839999999
Condado Tacos Easton|Limited Hours|Condadotacos.com|Easton Area|4077 Fenlon St|Columbus|OH|43219.0|614.532.5956|Condadotacos.cm|Direct Call,Website|Direct from Restaurant ,Door Dash|Carry Out|Yes|We will accept all orders during the operating hours.|"Yes, In Person"|We are serving our normal menu and catering menu as well.  Please call with questions.|40.0524965|-82.91426799999999
Cova Cowork & Bottoms Up Coffee|Temporarily Closed|https://www.instagram.com/bottomsupcoffee/|Franklinton|1069 W Broad Street|Columbus|OH|43222.0|-2535|https://www.bottomsupcoffee.com/|Website|GrubHub|Curbside|Yes|Our cafe is closed for the time being and we unfortunately are not equip to do take-out as an option. We do, however have gift cards and merch available for purchase through our website.   NOTE:  While we are available on GrubHub normally, for now we have discontinued that feature.  Also, curbside is NOT available, but I was required to click one option to submit.  |"Yes, Online"|Yes|39.9585369|-83.0290467
